Library_Name	Experiment_Accession	Run_Accession	BioSample	Total_Spots	Total_Bases
Mouse_4_day_30	SRX828806	SRR1740545	SAMN03268054	58342963	5892639263
Mouse_4_day_26	SRX828805	SRR1740544	SAMN03268053	18536678	1872204478
Mouse_4_day_24	SRX828804	SRR1740543	SAMN03268052	21258396	2147097996
Mouse_4_day_21	SRX828803	SRR1740542	SAMN03268051	34012661	3435278761
Mouse_4_day_18	SRX828802	SRR1740541	SAMN03268050	36785069	3715291969
Mouse_4_day_14	SRX828801	SRR1740540	SAMN03268049	30938269	3124765169
Mouse_4_day_12	SRX828800	SRR1740539	SAMN03268048	27680505	2795731005
Mouse_4_day_7	SRX828799	SRR1740538	SAMN03268047	20319333	2052252633
Mouse_3_day_105	SRX828798	SRR1740537	SAMN03268058	33615575	3395173075
Mouse_3_day_102	SRX828797	SRR1740536	SAMN03268057	29969625	3026932125
Mouse_3_day_99	SRX828796	SRR1740535	SAMN03268056	27946680	2822614680
Mouse_3_day_96	SRX828795	SRR1740534	SAMN03268055	34358187	3470176887
Mouse_3_day_30	SRX828794	SRR1740533	SAMN03268054	25117321	2536849421
Mouse_3_day_26	SRX828793	SRR1740532	SAMN03268053	22592427	2281835127
Mouse_3_day_24	SRX828792	SRR1740531	SAMN03268052	23444914	2367936314
Mouse_3_day_21	SRX828791	SRR1740530	SAMN03268051	29497831	2979280931
Mouse_3_day_18	SRX828790	SRR1740529	SAMN03268050	34727637	3507491337
Mouse_3_day_14	SRX828789	SRR1740528	SAMN03268049	30228564	3053084964
Mouse_3_day_12	SRX828788	SRR1740527	SAMN03268048	33425223	3375947523
Mouse_3_day_7	SRX828787	SRR1740526	SAMN03268047	19608986	1980507586
Mouse_2_day_30	SRX828786	SRR1740525	SAMN03268054	18979719	1916951619
Mouse_2_day_26	SRX828785	SRR1740524	SAMN03268053	23466519	2370118419
Mouse_2_day_24	SRX828784	SRR1740523	SAMN03268052	22848101	2307658201
Mouse_2_day_21	SRX828783	SRR1740522	SAMN03268051	35366233	3571989533
Mouse_2_day_18	SRX828782	SRR1740521	SAMN03268050	33555398	3389095198
Mouse_2_day_14	SRX828781	SRR1740520	SAMN03268049	24935575	2518493075
Mouse_2_day_12	SRX828780	SRR1740519	SAMN03268048	25506024	2576108424
Mouse_2_day_6	SRX828779	SRR1740518	SAMN03268046	22126238	2234750038
Mouse_1_day_30	SRX828778	SRR1740517	SAMN03268054	21227936	2144021536
Mouse_1_day_26	SRX828777	SRR1740516	SAMN03268053	22924854	2315410254
Mouse_1_day_24	SRX828776	SRR1740515	SAMN03268052	21804043	2202208343
Mouse_1_day_21	SRX828775	SRR1740514	SAMN03268051	23774154	2401189554
Mouse_1_day_18	SRX828774	SRR1740513	SAMN03268050	38547223	3893269523
Mouse_1_day_14	SRX828773	SRR1740512	SAMN03268049	32157337	3247891037
Mouse_1_day_12	SRX828772	SRR1740511	SAMN03268048	31513816	3182895416
Mouse_1_day_6	SRX828771	SRR1740510	SAMN03268046	21516687	2173185387
Control_B_10_7_3	SRX828770	SRR1740509	SAMN03268045	45215754	4566791154
Control_B_10_7_2	SRX828769	SRR1740508	SAMN03268045	26920228	2718943028
Control_B_10_7_1	SRX828768	SRR1740507	SAMN03268045	48444928	4892937728
Control_B_10_6_3	SRX828767	SRR1740506	SAMN03268045	42082973	4250380273
Control_B_10_6_2	SRX828766	SRR1740505	SAMN03268045	26104466	2636551066
Control_B_10_6_1	SRX828765	SRR1740504	SAMN03268045	44260435	4470303935
Control_A_10_7_3	SRX828764	SRR1740503	SAMN03268044	51516938	5203210738
Control_A_10_7_2	SRX828763	SRR1740502	SAMN03268044	39301817	3969483517
Control_A_10_7_1	SRX828762	SRR1740501	SAMN03268044	26144509	2640595409
Control_A_10_6_3	SRX828761	SRR1740500	SAMN03268044	41419332	4183352532
Control_A_10_6_2	SRX828760	SRR1740499	SAMN03268044	44682159	4512898059
